family,winding_ratio,suggested_order
straight,1.003003,1
straight,1.002591,1
straight,1.008074,1
straight,1.001852,1
straight,1.003921,1
straight,1.027863,1
straight,1.015201,1
straight,1.025328,1
straight,1.008419,1
straight,1.020860,1
straight,1.019850,1
straight,1.007613,1
straight,1.007968,1
straight,1.008328,1
straight,1.010035,1
straight,1.015272,1
straight,1.011530,1
straight,1.015776,1
straight,1.017371,1
straight,1.014373,1
straight,1.010267,1
straight,1.006355,1
straight,1.014714,1
straight,1.011926,1
straight,1.011109,1
straight,1.018459,1
straight,1.004167,1
straight,1.012900,1
straight,1.018504,1
straight,1.005485,1
straight,1.009136,1
straight,1.001878,1
straight,1.005770,1
straight,1.009341,1
straight,1.005304,1
straight,1.006665,1
straight,1.003236,1
straight,1.009788,1
straight,1.007572,1
straight,1.007639,1
straight,1.005561,1
straight,1.014518,1
straight,1.012677,1
straight,1.008435,1
straight,1.008625,1
straight,1.007043,1
straight,1.021711,1
straight,1.023074,1
straight,1.006739,1
straight,1.002638,1
straight,1.008976,1
straight,1.009053,1
straight,1.010058,1
straight,1.003789,1
straight,1.009890,1
straight,1.005206,1
straight,1.007153,1
straight,1.005265,1
straight,1.011811,1
straight,1.005469,1
straight,1.002496,1
straight,1.004775,1
straight,1.013506,1
straight,1.010007,1
straight,1.007684,1
straight,1.005358,1
straight,1.003775,1
straight,1.002561,1
straight,1.011856,1
straight,1.004970,1
straight,1.001996,1
straight,1.006480,1
straight,1.017604,1
straight,1.013940,1
straight,1.011969,1
straight,1.003158,1
straight,1.006957,1
straight,1.008243,1
straight,1.004528,1
straight,1.002703,1
straight,1.013305,1
straight,1.018735,1
straight,1.013936,1
straight,1.006348,1
straight,1.002856,1
straight,1.007718,1
straight,1.003217,1
straight,1.017862,1
straight,1.008315,1
straight,1.012827,1
straight,1.016937,1
straight,1.009539,1
straight,1.009906,1
straight,1.016452,1
straight,1.009814,1
straight,1.005384,1
straight,1.004705,1
straight,1.034472,1
straight,1.028861,1
straight,1.026050,1
straight,1.035356,1
straight,1.005213,1
straight,1.005983,1
straight,1.008232,1
straight,1.007721,1
straight,1.005710,1
straight,1.010156,1
straight,1.010446,1
straight,1.017152,1
straight,1.007533,1
straight,1.004168,1
straight,1.006486,1
straight,1.008891,1
straight,1.003135,1
straight,1.011114,1
straight,1.005832,1
straight,1.022095,1
straight,1.011033,1
straight,1.008082,1
straight,1.014969,1
straight,1.007934,1
straight,1.005047,1
straight,1.010584,1
straight,1.009859,1
straight,1.003011,1
straight,1.005316,1
straight,1.002376,1
straight,1.011114,1
straight,1.007564,1
straight,1.029441,1
straight,1.033152,1
straight,1.004433,1
straight,1.002131,1
straight,1.009625,1
straight,1.005289,1
straight,1.005406,1
straight,1.005003,1
straight,1.029283,1
straight,1.013597,1
straight,1.014516,1
straight,1.012146,1
straight,1.012354,1
straight,1.006483,1
straight,1.013115,1
straight,1.008141,1
straight,1.006095,1
straight,1.007905,1
straight,1.002768,1
straight,1.004766,1
straight,1.011461,1
straight,1.004571,1
straight,1.016019,1
straight,1.010872,1
straight,1.009769,1
straight,1.009757,1
straight,1.005546,1
straight,1.010605,1
straight,1.012406,1
straight,1.005530,1
straight,1.006382,1
straight,1.012686,1
straight,1.002895,1
straight,1.011671,1
straight,1.022389,1
straight,1.012670,1
straight,1.005096,1
straight,1.019466,1
straight,1.007238,1
straight,1.025068,1
straight,1.006160,1
straight,1.020715,1
straight,1.004893,1
straight,1.026453,1
straight,1.011414,1
straight,1.010337,1
straight,1.005782,1
straight,1.015769,1
straight,1.020715,1
straight,1.011788,1
straight,1.016187,1
straight,1.004465,1
straight,1.020495,1
straight,1.003586,1
straight,1.018429,1
straight,1.036847,1
straight,1.006294,1
straight,1.004648,1
straight,1.007944,1
straight,1.017795,1
straight,1.007195,1
straight,1.005049,1
straight,1.074864,1
straight,1.010037,1
straight,1.013733,1
straight,1.003041,1
straight,1.007502,1
straight,1.003583,1
straight,1.006918,1
straight,1.008304,1
straight,1.003770,1
curve,1.177906,2
curve,1.156628,2
curve,1.251203,2
curve,1.142754,2
curve,1.174950,2
curve,1.253562,2
curve,1.114015,2
curve,1.312016,2
curve,1.248960,2
curve,1.151614,2
curve,1.142453,2
curve,1.128193,2
curve,1.319524,2
curve,1.101110,2
